=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:30:59.469 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:00.431 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:01.390 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:02.351 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:03.312 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:04.272 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:05.234 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:06.194 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:07.155 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:08.116 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:09.077 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:10.038 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:10.998 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:11.959 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:12.919 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:13.879 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:14.841 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:15.802 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:16.763 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:17.724 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:18.685 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:19.645 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:20.608 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:31:21.567 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:31:24.156 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068Oleksandra Suchova\u2069 \u2013 (6)"
19:31:24.158 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (6)"
19:31:24.161 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068r/\u0440\u0435\u0442\u0440\u0430\u043D\u0441\u043B\u044F\u0442\u043E\u0440\u2069 \u2013 (6)"
19:31:24.161 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200Er/\u0440\u0435\u0442\u0440\u0430\u043D\u0441\u043B\u044F\u0442\u043E\u0440 \u2013 (6)"
19:31:24.712 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u2733 verify-win32-assumptions"
19:31:41.526 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068r/\u0440\u0435\u0442\u0440\u0430\u043D\u0441\u043B\u044F\u0442\u043E\u0440\u2069 \u2013 (4)"
19:31:41.527 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200Er/\u0440\u0435\u0442\u0440\u0430\u043D\u0441\u043B\u044F\u0442\u043E\u0440 \u2013 (4)"
19:31:41.531 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "(2) \u200E\u2068IXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435\u2069 \u2013 (4)"
19:31:41.531 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "(2) \u200EIXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435 \u2013 (4)"
19:31:50.620 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "(1) \u200E\u2068IXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435\u2069 \u2013 (3)"
19:31:50.622 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "(1) \u200EIXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435 \u2013 (3)"
19:31:51.269 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068IXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435\u2069 \u2013 (2)"
19:31:51.270 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EIXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435 \u2013 (2)"
19:31:58.943 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068IXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435\u2069 \u2013 (1)"
19:31:58.944 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EIXBT Games | \u041A\u043E\u0440\u043E\u0447\u0435 \u2013 (1)"
19:31:58.947 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "(1) \u200E\u20683DNews\u2069 \u2013 (1)"
19:31:58.948 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "(1) \u200E3DNews \u2013 (1)"
19:32:12.249 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u20683DNews\u2069"
19:32:12.249 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E3DNews"
19:35:10.374 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u20683DNews\u2069 \u2013 (1)"
19:35:10.375 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E3DNews \u2013 (1)"
19:35:16.894 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:17.700 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:18.660 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:19.620 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:20.594 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:21.554 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:22.514 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:23.476 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:24.436 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:25.398 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:26.358 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:27.319 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:28.279 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:29.241 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:30.351 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:31.172 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:32.133 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:33.095 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:34.056 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:35.017 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:35.978 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:36.938 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:37.900 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:38.862 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:39.822 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:40.782 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:41.742 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:42.702 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:43.663 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:44.624 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:45.584 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:46.545 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:47.506 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:48.466 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:49.427 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:50.388 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:51.350 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:52.310 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:53.271 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:54.233 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:55.228 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:56.164 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:57.118 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:35:58.079 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:35:59.040 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:00.000 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:00.961 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:01.922 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:02.883 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:03.844 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:04.805 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:05.765 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:06.726 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:07.687 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:08.647 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:09.607 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:10.568 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:11.529 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:12.489 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:13.451 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:14.412 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:15.373 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:16.333 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:17.293 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:18.254 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:19.215 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:20.177 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:21.137 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:22.097 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:23.058 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:24.018 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:24.228 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:25.940 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:26.901 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:27.862 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:28.823 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:29.784 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:30.745 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:31.706 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:32.667 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:33.629 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:34.589 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:35.550 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:36.511 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:37.471 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:38.432 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:39.393 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:39.599 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:41.315 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:42.276 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:43.236 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:43.655 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:45.157 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:46.118 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:47.078 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:47.791 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:49.008 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:49.970 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:50.931 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:51.892 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:52.853 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:53.813 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:54.774 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:55.736 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:56.697 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:57.658 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:36:58.620 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:36:59.581 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:00.739 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:01.502 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:02.463 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:03.423 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:04.384 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:04.691 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:06.306 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:07.266 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:08.228 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:08.871 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:10.149 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:11.110 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:12.077 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:12.995 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:13.998 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:14.959 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:15.919 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:16.880 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:37:17.841 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:37:18.634 | 0x00051424 | vis=n | SoundSwitch        | WindowsForms10.Static.app.0.2b89eaa_r3_ad1 | "Speakers (Creative BT-W3)"
19:37:18.635 | 0x0020142C | vis=n | SoundSwitch        | WindowsForms10.Static.app.0.2b89eaa_r3_ad1 | "Playback Device"
19:37:18.801 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
