=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:15:07.472 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 Initialize git repository with initial commit"
19:15:08.432 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 Initialize git repository with initial commit"
19:15:09.392 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 Initialize git repository with initial commit"
19:15:10.353 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 Initialize git repository with initial commit"
19:15:11.314 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 Initialize git repository with initial commit"
19:15:12.275 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 Initialize git repository with initial commit"
19:15:16.647 | 0x0002147A | vis=n | chrome             | Chrome_WidgetWin_1                 | "Untitled - Google Chrome"
19:15:16.708 | 0x0002147A | vis=Y | chrome             | Chrome_WidgetWin_1                 | "HYDRAWIN-CHROME-A - Google Chrome"
19:15:19.687 | 0x0003148C | vis=n | chrome             | Chrome_WidgetWin_1                 | "Untitled - Google Chrome"
19:15:19.740 | 0x0003148C | vis=Y | chrome             | Chrome_WidgetWin_1                 | "HYDRAWIN-CHROME-B - Google Chrome"
19:15:23.375 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068Oleksandra Suchova\u2069 \u2013 (3)"
19:15:23.375 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (3)"
19:15:31.742 | 0x006E13C0 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u2733 Initialize git repository with initial commit"
19:16:38.492 | 0x000D0CA6 | vis=Y | chrome             | Chrome_WidgetWin_1                 | "Agent/Godot/DocsAndTasks - Google Chrome"
